Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
44,7,5,166,9,Some Random Commen with Id 44
45,7,5,102,0,Some Random Commen with Id 45
46,7,5,69,0,Some Random Commen with Id 46
47,7,5,176,8,Some Random Commen with Id 47
48,7,5,121,7,Some Random Commen with Id 48
49,7,5,25,7,Some Random Commen with Id 49
50,8,6,88,3,Some Random Commen with Id 50
51,8,6,174,2,Some Random Commen with Id 51
52,8,6,55,2,Some Random Commen with Id 52
53,9,2,199,5,Some Random Commen with Id 53
54,10,5,16,1,Some Random Commen with Id 54
55,10,5,10,4,Some Random Commen with Id 55
56,10,5,85,4,Some Random Commen with Id 56
57,10,5,152,5,Some Random Commen with Id 57
58,10,5,182,3,Some Random Commen with Id 58
59,10,5,61,0,Some Random Commen with Id 59
60,10,5,15,0,Some Random Commen with Id 60
61,10,5,119,6,Some Random Commen with Id 61
62,10,5,22,2,Some Random Commen with Id 62
63,11,7,130,1,Some Random Commen with Id 63
64,11,7,100,1,Some Random Commen with Id 64
65,11,7,14,4,Some Random Commen with Id 65
66,11,7,167,0,Some Random Commen with Id 66
67,12,9,114,7,Some Random Commen with Id 67
68,12,9,192,2,Some Random Commen with Id 68
69,12,9,26,5,Some Random Commen with Id 69
70,12,9,147,9,Some Random Commen with Id 70
71,12,9,12,0,Some Random Commen with Id 71
72,12,9,101,6,Some Random Commen with Id 72
73,12,9,67,3,Some Random Commen with Id 73
74,12,9,30,1,Some Random Commen with Id 74
75,13,6,27,1,Some Random Commen with Id 75
76,13,6,88,2,Some Random Commen with Id 76
77,13,6,85,5,Some Random Commen with Id 77
78,13,6,79,1,Some Random Commen with Id 78
79,13,6,119,5,Some Random Commen with Id 79
80,13,6,138,5,Some Random Commen with Id 80
81,14,6,98,1,Some Random Commen with Id 81
82,14,6,19,2,Some Random Commen with Id 82
83,15,3,140,8,Some Random Commen with Id 83
84,15,3,78,8,Some Random Commen with Id 84
85,15,3,97,6,Some Random Commen with Id 85
86,15,3,28,0,Some Random Commen with Id 86
87,15,3,121,8,Some Random Commen with Id 87
88,15,3,153,5,Some Random Commen with Id 88
89,15,3,45,6,Some Random Commen with Id 89
90,15,3,81,6,Some Random Commen with Id 90
91,16,6,90,5,Some Random Commen with Id 91
92,16,6,174,8,Some Random Commen with Id 92
93,17,2,181,8,Some Random Commen with Id 93
94,17,2,172,4,Some Random Commen with Id 94
95,17,2,68,3,Some Random Commen with Id 95
96,17,2,109,8,Some Random Commen with Id 96
97,17,2,51,7,Some Random Commen with Id 97
98,17,2,27,4,Some Random Commen with Id 98
99,19,8,164,0,Some Random Commen with Id 99
100,19,8,28,3,Some Random Commen with Id 100
101,19,8,159,3,Some Random Commen with Id 101
102,19,8,121,4,Some Random Commen with Id 102
103,19,8,5,8,Some Random Commen with Id 103
104,19,8,169,7,Some Random Commen with Id 104
105,20,8,147,5,Some Random Commen with Id 105
106,20,8,5,5,Some Random Commen with Id 106
107,20,8,19,5,Some Random Commen with Id 107
108,20,8,72,5,Some Random Commen with Id 108
109,20,8,62,9,Some Random Commen with Id 109
110,21,4,125,5,Some Random Commen with Id 110
111,21,4,122,2,Some Random Commen with Id 111
112,21,4,199,2,Some Random Commen with Id 112
113,21,4,60,3,Some Random Commen with Id 113
114,21,4,143,1,Some Random Commen with Id 114
115,21,4,62,0,Some Random Commen with Id 115
116,21,4,141,0,Some Random Commen with Id 116
117,22,7,144,8,Some Random Commen with Id 117
118,23,7,153,0,Some Random Commen with Id 118
119,23,7,36,2,Some Random Commen with Id 119
120,23,7,19,7,Some Random Commen with Id 120
121,23,7,35,0,Some Random Commen with Id 121
122,23,7,70,3,Some Random Commen with Id 122
123,23,7,40,3,Some Random Commen with Id 123
124,24,2,39,2,Some Random Commen with Id 124
125,24,2,113,3,Some Random Commen with Id 125
126,24,2,195,2,Some Random Commen with Id 126
127,24,2,93,5,Some Random Commen with Id 127
128,24,2,13,5,Some Random Commen with Id 128
129,24,2,89,6,Some Random Commen with Id 129
130,24,2,114,4,Some Random Commen with Id 130
131,25,8,18,5,Some Random Commen with Id 131
132,25,8,135,4,Some Random Commen with Id 132
133,25,8,101,0,Some Random Commen with Id 133
134,26,2,96,5,Some Random Commen with Id 134
135,26,2,135,7,Some Random Commen with Id 135
136,26,2,109,8,Some Random Commen with Id 136
137,26,2,182,5,Some Random Commen with Id 137
138,26,2,97,8,Some Random Commen with Id 138
139,26,2,157,4,Some Random Commen with Id 139
140,26,2,198,8,Some Random Commen with Id 140
141,26,2,27,7,Some Random Commen with Id 141
142,27,1,177,9,Some Random Commen with Id 142
143,27,1,158,9,Some Random Commen with Id 143
144,27,1,184,4,Some Random Commen with Id 144
145,27,1,95,6,Some Random Commen with Id 145
146,27,1,187,6,Some Random Commen with Id 146
147,27,1,139,4,Some Random Commen with Id 147
148,27,1,7,2,Some Random Commen with Id 148
149,27,1,36,4,Some Random Commen with Id 149
150,27,1,22,1,Some Random Commen with Id 150
151,28,9,35,2,Some Random Commen with Id 151
152,28,9,97,0,Some Random Commen with Id 152
153,28,9,184,7,Some Random Commen with Id 153
154,29,7,100,6,Some Random Commen with Id 154
155,29,7,173,8,Some Random Commen with Id 155
156,29,7,72,5,Some Random Commen with Id 156
157,29,7,107,7,Some Random Commen with Id 157
158,31,5,55,1,Some Random Commen with Id 158
159,31,5,148,4,Some Random Commen with Id 159
160,31,5,139,3,Some Random Commen with Id 160
161,31,5,18,3,Some Random Commen with Id 161
162,32,5,64,6,Some Random Commen with Id 162
163,32,5,23,0,Some Random Commen with Id 163
164,32,5,174,1,Some Random Commen with Id 164
165,33,0,129,1,Some Random Commen with Id 165
166,33,0,124,9,Some Random Commen with Id 166
167,33,0,118,4,Some Random Commen with Id 167
168,33,0,164,6,Some Random Commen with Id 168
169,33,0,189,3,Some Random Commen with Id 169
170,33,0,169,2,Some Random Commen with Id 170
171,34,2,112,3,Some Random Commen with Id 171
172,34,2,147,1,Some Random Commen with Id 172
173,34,2,184,9,Some Random Commen with Id 173
174,34,2,22,8,Some Random Commen with Id 174
175,34,2,150,9,Some Random Commen with Id 175
176,36,7,50,7,Some Random Commen with Id 176
177,36,7,179,0,Some Random Commen with Id 177
178,36,7,0,6,Some Random Commen with Id 178
179,36,7,175,8,Some Random Commen with Id 179
180,36,7,151,1,Some Random Commen with Id 180
181,36,7,39,3,Some Random Commen with Id 181
182,36,7,96,7,Some Random Commen with Id 182
183,36,7,21,6,Some Random Commen with Id 183
184,37,0,41,0,Some Random Commen with Id 184
185,38,8,114,7,Some Random Commen with Id 185
186,38,8,189,5,Some Random Commen with Id 186
187,38,8,78,2,Some Random Commen with Id 187
188,39,1,18,7,Some Random Commen with Id 188
189,39,1,49,4,Some Random Commen with Id 189
190,39,1,59,6,Some Random Commen with Id 190
191,39,1,59,4,Some Random Commen with Id 191
192,39,1,58,2,Some Random Commen with Id 192
193,39,1,157,5,Some Random Commen with Id 193
